PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,name,title
184,YES,2,1,1,2,1,230136,39,1,2,163,4
185,YES,3,0,4,0,2,315153,22.025,0,2,164,3
186,NO,1,1,0,0,0,113767,50,1,2,165,1
187,YES,3,0,0,1,0,370365,15.5,0,3,166,2
188,YES,1,1,45,0,0,111428,26.55,0,2,167,1
189,NO,3,1,40,1,1,364849,15.5,0,3,168,1
190,NO,3,1,36,0,0,349247,7.8958,0,2,169,1
191,YES,2,0,32,0,0,234604,13,0,2,170,2
192,NO,2,1,19,0,0,28424,13,0,2,171,1
193,YES,3,0,19,1,0,350046,7.8542,0,2,172,3
194,YES,2,1,3,1,1,230080,26,1,2,135,4
195,YES,1,0,44,0,0,17610,27.7208,1,1,173,2
196,YES,1,0,58,0,0,17569,146.5208,1,1,174,3
197,NO,3,1,0,0,0,368703,7.75,0,3,175,1
198,NO,3,1,42,0,1,4579,8.4042,0,2,141,1
199,YES,3,0,0,0,0,370370,7.75,0,3,176,3
200,NO,2,0,24,0,0,248747,13,0,2,177,3
201,NO,3,1,28,0,0,345770,9.5,0,2,178,1
202,NO,3,1,0,8,2,2343,69.55,0,2,145,1
203,NO,3,1,34,0,0,3101264,6.4958,0,2,179,1
204,NO,3,1,45.5,0,0,2628,7.225,0,1,180,1
205,YES,3,1,18,0,0,3540,8.05,0,2,181,1
206,NO,3,0,2,0,1,347054,10.4625,1,2,182,3
207,NO,3,1,32,1,0,3101278,15.85,0,2,82,1
208,YES,3,1,26,0,0,2699,18.7875,0,1,183,1
209,YES,3,0,16,0,0,367231,7.75,0,3,184,3
210,YES,1,1,40,0,0,112277,31,1,1,185,1
211,NO,3,1,24,0,0,3101311,7.05,0,2,186,1
212,YES,2,0,35,0,0,13528,21,0,2,187,3
213,NO,3,1,22,0,0,21174,7.25,0,2,188,1
214,NO,2,1,30,0,0,250646,13,0,2,189,1
215,NO,3,1,0,1,0,367229,7.75,0,3,190,1
216,YES,1,0,31,1,0,35273,113.275,1,1,191,3
217,YES,3,0,27,0,0,3101283,7.925,0,2,192,3
218,NO,2,1,42,1,0,243847,27,0,2,193,1
219,YES,1,0,32,0,0,11813,76.2917,1,1,194,3
220,NO,2,1,30,0,0,14208,10.5,0,2,61,1
221,YES,3,1,16,0,0,392089,8.05,0,2,195,1
222,NO,2,1,27,0,0,220367,13,0,2,196,1
223,NO,3,1,51,0,0,21440,8.05,0,2,197,1
224,NO,3,1,0,0,0,349234,7.8958,0,2,198,1
225,YES,1,1,38,1,0,19943,90,1,2,199,1
226,NO,3,1,22,0,0,4348,9.35,0,2,200,1
227,YES,2,1,19,0,0,751,10.5,0,2,201,1
228,NO,3,1,20.5,0,0,21173,7.25,0,2,202,1
229,NO,2,1,18,0,0,236171,13,0,2,203,1
230,NO,3,0,0,3,1,4133,25.4667,0,2,158,3
231,YES,1,0,35,1,0,36973,83.475,1,2,61,2
232,NO,3,1,29,0,0,347067,7.775,0,2,204,1
233,NO,2,1,59,0,0,237442,13.5,0,2,205,1
234,YES,3,0,5,4,2,347077,31.3875,0,2,25,3
235,NO,2,1,24,0,0,29566,10.5,0,2,206,1
236,NO,3,0,0,0,0,6609,7.55,0,2,207,3
237,NO,2,1,44,1,0,26707,26,0,2,208,1
238,YES,2,0,8,0,2,31921,26.25,0,2,209,3
239,NO,2,1,19,0,0,28665,10.5,0,2,210,1
240,NO,2,1,33,0,0,1585,12.275,0,2,211,1
241,NO,3,0,0,1,0,2665,14.4542,0,1,106,3
242,YES,3,0,0,1,0,367230,15.5,0,3,212,3
243,NO,2,1,29,0,0,14263,10.5,0,2,213,1
244,NO,3,1,22,0,0,3101275,7.125,0,2,214,1
245,NO,3,1,30,0,0,2694,7.225,0,1,109,1
246,NO,1,1,44,2,0,19928,90,1,3,215,7
247,NO,3,0,25,0,0,347071,7.775,0,2,216,3
248,YES,2,0,24,0,2,250649,14.5,0,2,217,2
249,YES,1,1,37,1,1,11751,52.5542,1,2,218,1
250,NO,2,1,54,1,0,244252,26,0,2,219,6
251,NO,3,1,0,0,0,362316,7.25,0,2,220,1
252,NO,3,0,29,1,1,347054,10.4625,1,2,182,2
253,NO,1,1,62,0,0,113514,26.55,1,2,221,1
254,NO,3,1,30,1,0,3336,16.1,0,2,222,1
255,NO,3,0,41,0,2,370129,20.2125,0,2,223,2
256,YES,3,0,29,0,2,2650,15.2458,0,1,224,2
257,YES,1,0,0,0,0,17585,79.2,0,1,225,2
258,YES,1,0,30,0,0,110152,86.5,1,2,226,3
259,YES,1,0,35,0,0,17755,512.3292,0,1,227,3
260,YES,2,0,50,0,1,230433,26,0,2,228,2
261,NO,3,1,0,0,0,384461,7.75,0,3,156,1
262,YES,3,1,3,4,2,347077,31.3875,0,2,25,4
263,NO,1,1,52,1,1,110413,79.65,1,2,229,1
264,NO,1,1,40,0,0,112059,0,1,2,230,1
265,NO,3,0,0,0,0,382649,7.75,0,3,231,3
266,NO,2,1,36,0,0,17248,10.5,0,2,232,1
267,NO,3,1,16,4,1,3101295,39.6875,0,2,49,1
268,YES,3,1,25,1,0,347083,7.775,0,2,233,1
269,YES,1,0,58,0,1,17582,153.4625,1,2,234,2
270,YES,1,0,35,0,0,17760,135.6333,1,2,235,3
271,NO,1,1,0,0,0,113798,31,0,2,236,1
272,YES,3,1,25,0,0,0,0,2,0,237,1
273,YES,2,0,41,0,1,250644,19.5,0,2,238,2
274,NO,1,1,37,0,1,17596,29.7,1,1,239,1
275,YES,3,0,0,0,0,370375,7.75,0,3,240,3
276,YES,1,0,63,1,0,13502,77.9583,1,2,241,3
277,NO,3,0,45,0,0,347073,7.75,0,2,242,3
278,NO,2,1,0,0,0,239853,0,0,2,243,1
279,NO,3,1,7,4,1,382652,29.125,0,3,17,4
280,YES,3,0,35,1,1,2673,20.25,0,2,244,2
281,NO,3,1,65,0,0,336439,7.75,0,3,245,1
282,NO,3,1,28,0,0,347464,7.8542,0,2,246,1
283,NO,3,1,16,0,0,345778,9.5,0,2,247,1
284,YES,3,1,19,0,0,10482,8.05,0,2,248,1
285,NO,1,1,0,0,0,113056,26,1,2,156,1
286,NO,3,1,33,0,0,349239,8.6625,0,1,249,1
287,YES,3,1,30,0,0,345774,9.5,0,2,250,1
288,NO,3,1,22,0,0,349206,7.8958,0,2,251,1
289,YES,2,1,42,0,0,237798,13,0,2,252,1
290,YES,3,0,22,0,0,370373,7.75,0,3,253,3
291,YES,1,0,26,0,0,19877,78.85,0,2,254,3
292,YES,1,0,19,1,0,11967,91.0792,1,1,255,2
293,NO,2,1,36,0,0,2163,12.875,1,1,256,1
294,NO,3,0,24,0,0,349236,8.85,0,2,257,3
295,NO,3,1,24,0,0,349233,7.8958,0,2,258,1
296,NO,1,1,0,0,0,17612,27.7208,0,1,259,1
297,NO,3,1,23.5,0,0,2693,7.2292,0,1,260,1
298,NO,1,0,2,1,2,113781,151.55,1,2,261,3
299,YES,1,1,0,0,0,19988,30.5,1,2,262,1
300,YES,1,0,50,0,1,17558,247.5208,1,1,112,2
301,YES,3,0,0,0,0,9234,7.75,0,3,263,3
302,YES,3,1,0,2,0,367226,23.25,0,3,264,1
303,NO,3,1,19,0,0,0,0,2,0,9,1
304,YES,2,0,0,0,0,226593,12.35,1,3,265,3
305,NO,3,1,0,0,0,2466,8.05,0,2,18,1
306,YES,1,1,0.92,1,2,113781,151.55,1,2,261,4
307,YES,1,0,0,0,0,17421,110.8833,0,1,266,3
308,YES,1,0,17,1,0,17758,108.9,1,1,267,2
309,NO,2,1,30,1,0,3381,24,0,1,268,1
310,YES,1,0,30,0,0,17485,56.9292,1,1,269,3
311,YES,1,0,24,0,0,11767,83.1583,1,1,270,3
312,YES,1,0,18,2,2,17608,262.375,1,1,271,3
313,NO,2,0,26,1,1,250651,26,0,2,272,2
314,NO,3,1,28,0,0,349243,7.8958,0,2,273,1
315,NO,2,1,43,1,1,13529,26.25,0,2,274,1
316,YES,3,0,26,0,0,347470,7.8542,0,2,275,3
317,YES,2,0,24,1,0,244367,26,0,2,95,2
318,NO,2,1,54,0,0,29011,14,0,2,276,7
319,YES,1,0,31,0,2,36928,164.8667,1,2,277,3
320,YES,1,0,40,1,1,16966,134.5,1,1,278,2
321,NO,3,1,22,0,0,21172,7.25,0,2,279,1
322,NO,3,1,27,0,0,349219,7.8958,0,2,280,1
323,YES,2,0,30,0,0,234818,12.35,0,3,281,3
324,YES,2,0,22,1,1,248738,29,0,2,75,2
325,NO,3,1,0,8,2,2343,69.55,0,2,145,1
326,YES,1,0,36,0,0,17760,135.6333,1,1,282,3
327,NO,3,1,61,0,0,345364,6.2375,0,2,283,1
328,YES,2,0,36,0,0,28551,13,1,2,284,2
329,YES,3,0,31,1,1,363291,20.525,0,2,150,2
330,YES,1,0,16,0,1,111361,57.9792,1,1,285,3
331,YES,3,0,0,2,0,367226,23.25,0,3,264,3
332,NO,1,1,45.5,0,0,113043,28.5,1,2,286,1
333,NO,1,1,38,0,1,17582,153.4625,1,2,234,1
334,NO,3,1,16,2,0,345764,18,0,2,19,1
335,YES,1,0,0,1,0,17611,133.65,0,2,287,2
336,NO,3,1,0,0,0,349225,7.8958,0,2,288,1
337,NO,1,1,29,1,0,113776,66.6,1,2,138,1
338,YES,1,0,41,0,0,16966,134.5,1,1,289,3
339,YES,3,1,45,0,0,7598,8.05,0,2,290,1
340,NO,1,1,45,0,0,113784,35.5,1,2,291,1
341,YES,2,1,2,1,1,230080,26,1,2,135,4
342,YES,1,0,24,3,2,19950,263,1,2,27,3
343,NO,2,1,28,0,0,248740,13,0,2,292,1
344,NO,2,1,25,0,0,244361,13,0,2,293,1
345,NO,2,1,36,0,0,229236,13,0,2,294,1
346,YES,2,0,24,0,0,248733,13,1,2,173,3
347,YES,2,0,40,0,0,31418,13,0,2,156,3
348,YES,3,0,0,1,0,386525,16.1,0,2,295,2
349,YES,3,1,3,1,1,37671,15.9,0,2,296,4
350,NO,3,1,42,0,0,315088,8.6625,0,2,297,1
351,NO,3,1,23,0,0,7267,9.225,0,2,298,1
352,NO,1,1,0,0,0,113510,35,1,2,299,1
353,NO,3,1,15,1,1,2695,7.2292,0,1,300,1
354,NO,3,1,25,1,0,349237,17.8,0,2,48,1
355,NO,3,1,0,0,0,2647,7.225,0,1,301,1
356,NO,3,1,28,0,0,345783,9.5,0,2,302,1
357,YES,1,0,22,0,1,113505,55,1,2,303,3
358,NO,2,0,38,0,0,237671,13,0,2,304,3
359,YES,3,0,0,0,0,330931,7.8792,0,3,305,3
360,YES,3,0,0,0,0,330980,7.8792,0,3,306,3
361,NO,3,1,40,1,4,347088,27.9,0,2,62,1
362,NO,2,1,29,1,0,2167,27.7208,0,1,307,1
363,NO,3,0,45,0,1,2691,14.4542,0,1,308,2
364,NO,3,1,35,0,0,3101310,7.05,0,2,309,1
365,NO,3,1,0,1,0,370365,15.5,0,3,166,1
366,NO,3,1,30,0,0,7076,7.25,0,2,310,1
367,YES,1,0,60,1,0,110813,75.25,1,1,311,2
368,YES,3,0,0,0,0,2626,7.2292,0,1,312,2
369,YES,3,0,0,0,0,14313,7.75,0,3,313,3
370,YES,1,0,24,0,0,17477,69.3,1,1,314,8
371,YES,1,1,25,1,0,11765,55.4417,1,1,315,1
372,NO,3,1,18,1,0,3101267,6.4958,0,2,316,1
373,NO,3,1,19,0,0,323951,8.05,0,2,317,1
374,NO,1,1,22,0,0,17760,135.6333,0,1,318,1
375,NO,3,0,3,3,1,349909,21.075,0,2,8,3
376,YES,1,0,0,1,0,17604,82.1708,0,1,34,2
377,YES,3,0,22,0,0,7077,7.25,0,2,319,3
378,NO,1,1,27,0,2,113503,211.5,1,1,320,1
379,NO,3,1,20,0,0,2648,4.0125,0,1,321,1
380,NO,3,1,19,0,0,347069,7.775,0,2,100,1
381,YES,1,0,42,0,0,17757,227.525,0,1,322,3
382,YES,3,0,1,0,2,2653,15.7417,0,1,323,3
383,NO,3,1,32,0,0,3101293,7.925,0,2,324,1
384,YES,1,0,35,1,0,113789,52,0,2,35,2
385,NO,3,1,0,0,0,349227,7.8958,0,2,325,1
386,NO,2,1,18,0,0,14879,73.5,0,2,326,1
387,NO,3,1,1,5,2,2144,46.9,0,2,58,4
388,YES,2,0,36,0,0,27849,13,0,2,327,3
389,NO,3,1,0,0,0,367655,7.7292,0,3,328,1
390,YES,2,0,17,0,0,1748,12,0,1,329,3
391,YES,1,1,36,1,2,113760,120,1,2,219,1
392,YES,3,1,21,0,0,350034,7.7958,0,2,330,1
393,NO,3,1,28,2,0,3101277,7.925,0,2,100,1
394,YES,1,0,23,1,0,35273,113.275,1,1,191,3
395,YES,3,0,24,0,2,9549,16.7,1,2,11,2
396,NO,3,1,22,0,0,350052,7.7958,0,2,99,1
397,NO,3,0,31,0,0,350407,7.8542,0,2,246,3
398,NO,2,1,46,0,0,28403,26,0,2,331,1
399,NO,2,1,23,0,0,244278,10.5,0,2,332,7
400,YES,2,0,28,0,0,240929,12.65,0,2,333,2
401,YES,3,1,39,0,0,3101289,7.925,0,2,334,1
402,NO,3,1,26,0,0,341826,8.05,0,2,335,1
403,NO,3,0,21,1,0,4137,9.825,0,2,108,3
404,NO,3,1,28,1,0,3101279,15.85,0,2,131,1
405,NO,3,0,20,0,0,315096,8.6625,0,2,336,3
406,NO,2,1,34,1,0,28664,21,0,2,337,1
407,NO,3,1,51,0,0,347064,7.75,0,2,338,1
408,YES,2,1,3,1,1,29106,18.75,0,2,339,4
409,NO,3,1,21,0,0,312992,7.775,0,2,340,1
410,NO,3,0,0,3,1,4133,25.4667,0,2,158,3
411,NO,3,1,0,0,0,349222,7.8958,0,2,341,1
412,NO,3,1,0,0,0,394140,6.8583,0,3,274,1
413,YES,1,0,33,1,0,19928,90,1,3,215,3
414,NO,2,1,0,0,0,239853,0,0,2,342,1
415,YES,3,1,44,0,0,3101269,7.925,0,2,343,1
416,NO,3,0,0,0,0,343095,8.05,0,2,344,2
417,YES,2,0,34,1,1,28220,32.5,0,2,345,2
418,YES,2,0,18,0,2,250652,13,0,2,346,3
419,NO,2,1,30,0,0,28228,13,0,2,347,1
420,NO,3,0,10,0,2,345773,24.15,0,2,348,3
421,NO,3,1,0,0,0,349254,7.8958,0,1,349,1
422,NO,3,1,21,0,0,13032,7.7333,0,3,350,1
423,NO,3,1,29,0,0,315082,7.875,0,2,351,1
424,NO,3,0,28,1,1,347080,14.4,0,2,352,2
425,NO,3,1,18,1,1,370129,20.2125,0,2,223,1
426,NO,3,1,0,0,0,34244,7.25,0,2,353,1
427,YES,2,0,28,1,0,2003,26,0,2,354,2
428,YES,2,0,19,0,0,250655,26,0,2,355,3
429,NO,3,1,0,0,0,364851,7.75,0,3,356,1
430,YES,3,1,32,0,0,392078,8.05,1,2,357,1
431,YES,1,1,28,0,0,110564,26.55,1,2,358,1
432,YES,3,0,0,1,0,376564,16.1,0,2,359,2
433,YES,2,0,42,1,0,3085,26,0,2,360,2
434,NO,3,1,17,0,0,3101274,7.125,0,2,361,1
435,NO,1,1,50,1,0,13507,55.9,1,2,362,1
436,YES,1,0,14,1,2,113760,120,1,2,219,3
437,NO,3,0,21,2,2,6608,34.375,0,2,83,3
438,YES,2,0,24,2,3,29106,18.75,0,2,339,2
439,NO,1,1,64,1,4,19950,263,1,2,27,1
440,NO,2,1,31,0,0,18723,10.5,0,2,363,1
441,YES,2,0,45,1,1,13529,26.25,0,2,274,2
442,NO,3,1,20,0,0,345769,9.5,0,2,364,1
443,NO,3,1,25,1,0,347076,7.775,0,2,365,1
444,YES,2,0,28,0,0,230434,13,0,2,366,9
445,YES,3,1,0,0,0,65306,8.1125,0,2,367,1
446,YES,1,1,4,0,2,33638,81.8583,1,2,368,4
447,YES,2,0,13,0,1,250644,19.5,0,2,238,3
448,YES,1,1,34,0,0,113794,26.55,0,2,369,1
449,YES,3,0,5,2,1,2666,19.2583,0,1,370,3
450,YES,1,1,52,0,0,113786,30.5,1,2,371,10
451,NO,2,1,36,1,2,34651,27.75,0,2,57,1
452,NO,3,1,0,1,0,65303,19.9667,0,2,372,1
453,NO,1,1,30,0,0,113051,27.75,1,1,373,1
454,YES,1,1,49,1,0,17453,89.1042,1,1,374,1
455,NO,3,1,0,0,0,2817,8.05,0,2,375,1
456,YES,3,1,29,0,0,349240,7.8958,0,1,376,1
457,NO,1,1,65,0,0,13509,26.55,1,2,377,1
458,YES,1,0,0,1,0,17464,51.8625,1,2,378,2
459,YES,2,0,50,0,0,13531,10.5,0,2,379,3
460,NO,3,1,0,0,0,371060,7.75,0,3,380,1
461,YES,1,1,48,0,0,19952,26.55,1,2,381,1
462,NO,3,1,34,0,0,364506,8.05,0,2,382,1
